[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09771</arsId><beginTm>05:30</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0310409561</gpsX><gpsY>37.6144539808</gpsY><lastTm>23:59</lastTm><posX>202740.26334714718</posX><posY>457212.1938818577</posY><routeType>2</routeType><sectSpd>13</sectSpd><section>108600230</section><seq>20</seq><station>108900085</station><stationNm>롯데백화점</stationNm><stationNo>09771</stationNo><transYn>N</transYn><fullSectDist>936</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09244</arsId><beginTm>05:34</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0314118544</gpsX><gpsY>37.6163658759</gpsY><lastTm>00:05</lastTm><posX>202772.9348636896</posX><posY>457424.3817926734</posY><routeType>2</routeType><sectSpd>11</sectSpd><section>108602361</section><seq>21</seq><station>108000156</station><stationNm>송중초등학교</stationNm><stationNo>09244</stationNo><transYn>N</transYn><fullSectDist>305</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09782</arsId><beginTm>05:35</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0341751563</gpsX><gpsY>37.6168230054</gpsY><lastTm>00:06</lastTm><posX>203016.85157510577</posX><posY>457475.19803450163</posY><routeType>2</routeType><sectSpd>11</sectSpd><section>108602363</section><seq>22</seq><station>108900077</station><stationNm>꿈의숲해링턴아파트108동앞</stationNm><stationNo>09782</stationNo><transYn>N</transYn><fullSectDist>260</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09788</arsId><beginTm>05:36</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0335980489</gpsX><gpsY>37.6187468406</gpsY><lastTm>00:07</lastTm><posX>202965.83032754756</posX><posY>457688.68183041597</posY><routeType>2</routeType><sectSpd>13</sectSpd><section>108600233</section><seq>23</seq><station>108900073</station><stationNm>꿈의숲해링턴아파트105동앞</stationNm><stationNo>09788</stationNo><transYn>N</transYn><fullSectDist>237</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09794</arsId><beginTm>05:36</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0333154191</gpsX><gpsY>37.620030966</gpsY><lastTm>00:08</lastTm><posX>202940.8309139679</posX><posY>457831.18184678955</posY><routeType>2</routeType><sectSpd>19</sectSpd><section>108600234</section><seq>24</seq><station>108900068</station><stationNm>꿈의숲해링턴아파트101동앞</stationNm><stationNo>09794</stationNo><transYn>N</transYn><fullSectDist>149</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09801</arsId><beginTm>05:37</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0330531131</gpsX><gpsY>37.6211844276</gpsY><lastTm>00:08</lastTm><posX>202917.6314628833</posX><posY>457959.18186618155</posY><routeType>2</routeType><sectSpd>19</sectSpd><section>108600235</section><seq>25</seq><station>108900063</station><stationNm>홈빌라트</stationNm><stationNo>09801</stationNo><transYn>N</transYn><fullSectDist>135</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09808</arsId><beginTm>05:37</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0327828202</gpsX><gpsY>37.6222270573</gpsY><lastTm>00:08</lastTm><posX>202893.73202151823</posX><posY>458074.881885801</posY><routeType>2</routeType><sectSpd>17</sectSpd><section>108600236</section><seq>26</seq><station>108900058</station><stationNm>제일슈퍼</stationNm><stationNo>09808</stationNo><transYn>N</transYn><fullSectDist>112</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09819</arsId><beginTm>05:37</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0323245882</gpsX><gpsY>37.6235616889</gpsY><lastTm>00:09</lastTm><posX>202853.23297463756</posX><posY>458222.98190051503</posY><routeType>2</routeType><sectSpd>13</sectSpd><section>108600237</section><seq>27</seq><station>108900052</station><stationNm>동성주택</stationNm><stationNo>09819</stationNo><transYn>N</transYn><fullSectDist>165</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09826</arsId><beginTm>05:38</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0322762463</gpsX><gpsY>37.6244222371</gpsY><lastTm>00:09</lastTm><posX>202848.9330789321</posX><posY>458318.48191526067</posY><routeType>2</routeType><sectSpd>28</sectSpd><section>108600238</section><seq>28</seq><station>108900048</station><stationNm>삼광학원</stationNm><stationNo>09826</stationNo><transYn>N</transYn><fullSectDist>139</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09841</arsId><beginTm>05:38</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0326970216</gpsX><gpsY>37.6254962129</gpsY><lastTm>00:10</lastTm><posX>202886.03220263106</posX><posY>458437.68193449033</posY><routeType>2</routeType><sectSpd>12</sectSpd><section>108600239</section><seq>29</seq><station>108900035</station><stationNm>당진슈퍼</stationNm><stationNo>09841</stationNo><transYn>N</transYn><fullSectDist>148</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09848</arsId><beginTm>05:39</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0345928361</gpsX><gpsY>37.6264670403</gpsY><lastTm>00:10</lastTm><posX>203053.32827675922</posX><posY>458545.48195280135</posY><routeType>2</routeType><sectSpd>11</sectSpd><section>108600240</section><seq>30</seq><station>108900031</station><stationNm>인천슈퍼</stationNm><stationNo>09848</stationNo><transYn>N</transYn><fullSectDist>199</fullSectDist><trnstnid>108900168</trnstnid></itemList>
